,GPA,Loan rate,Enrollment,Endowment,Graduation rate,SAT,Accept ratio,Tuition,Public/Private,Money_used,University_Tag,pc1,pc2,pc3,followers,tweets,following
25,3.6,0.8542278329999999,26135,3531941.0,0.82,1360,0.32,50464,0,1,NYU,1.1733800789430346,0.34174874615575895,-0.23665325807462648,143K,"6,806
            ",137
26,3.9,0.8990731209999999,6117,3396949.0,0.88,1453,0.12,52170,0,1,Hopkins,2.877138959680269,0.23469274693672262,-0.7505383509531643,11.4K,"39.7K
            ",386
27,3.73,0.885806705,34871,3289070.5,0.61,1285,0.44,14417,1,0,UoMC,-1.3399033664643574,1.9278172313502158,-1.1737538486074113,"1,329","881
            ",127
28,3.75,0.740981364,30933,3022119.5,0.65,1223,0.45,10974,1,0,The U,-1.329657514637157,2.1721412804131544,-0.497994679690487,155K,"14.1K
            ","1,985"
29,3.89,0.715824358,6926,3018357.5,0.84,1457,0.09,53419,0,1,Brown,2.9378176609201887,0.8274641467046766,0.03788262137061389,160K,"23K
            ",603
30,4.0,0.7034920640000001,18523,2939242.5,0.84,1343,0.27,9005,1,1,UoNCH,0.4079193945841728,2.594667697119398,-0.9841588031053456,"2,008","11.6K
            ",535
31,3.8,0.8540899040000001,31710,2442106.0,0.57,1300,0.53,10533,1,0,UoW,-1.4548200441286128,1.951884568870913,-1.1907153495075649,178K,"54.3K
            ","2,601"
32,3.8,0.869190632,33932,2339732.0,0.7,1305,0.6,15868,1,0,UI ,-1.2294945682698517,1.796450189526189,-1.501638051237363,"3,646","1,153
            ",215
33,3.7,0.796935395,30043,2326221.5,0.49,1231,0.56,10002,1,0,Purdue,-1.968490925896938,1.775089515986681,-0.4837078694695397,94K,"27.7K
            ",13.9K
34,3.86,0.653669725,2076,2325630.0,0.86,1442,0.18,53550,0,1,Williams,2.881585232082696,0.603964449730298,0.41569715429158005,"1,026","1,526
            ",395
35,3.83,0.8824911870000001,3036,2280678.0,0.84,1337,0.32,50910,0,0,UR ,2.0159047905602843,-0.4249433470655525,-0.3493004975116316,"7,800","8,840
            ",91
36,3.7,0.8928537259999999,39090,2249782.0,0.52,1159,0.66,14460,1,0,MSU,-2.4965033456384385,1.4951687706772097,-1.074925035531954,40.3K,"15.8K
            ",169
37,3.93,0.48387096799999996,979,2152805.5,0.81,1544,0.08,49908,0,1,Caltech,3.3945959254940585,1.5569775920703093,0.897588637412399,62.2K,"6,237
            ",468
38,3.9,0.9595570529999999,9309,2141950.0,0.89,1380,0.31,53346,0,1,BC,2.2067891896235343,-0.29820973862841993,-1.1393303585856978,65.8K,"23.6K
            ","2,432"
39,4.0,0.5,1849,2112677.0,0.86,1451,0.14,54310,0,1,Amherst,3.272842711412672,1.3358622713415496,0.7218557265377539,14.7K,"8,771
            ",520
40,4.0,0.47292418799999997,1660,2041817.5,0.92,1435,0.09,51075,0,0,POM,3.3874442121922224,1.4673422592976302,0.7809451612912915,383,"367
            ",23
41,3.8,0.948364888,6386,1988886.0,0.74,1410,0.38,52020,0,1,UR ,1.7643104413245678,-0.5053197905059155,-0.6655294199808341,"3,828","17K
            ","3,438"
42,3.7,0.862080425,39184,1980339.5,0.6,1199,0.79,10533,1,0,Indiana,-2.5005849531109883,1.553987513358654,-1.1775182427627393,212K,"44.1K
            ",655
43,3.9,0.806637807,15489,1851370.5,0.41,1403,0.26,12418,1,1,Ge,-0.41564481064956726,2.0638686858531003,-0.7196409888688652,"1,323","2,286
            ",771
44,3.9,0.7218009479999999,30873,1834138.0,0.74,1339,0.18,13256,1,1,UoCA,-0.09462300511142578,2.784675907796186,-1.1034605578124022,170K,"11.3K
            ",316
45,3.98,0.695652174,2347,1818991.0,0.83,1369,0.29,51148,0,1,Wellesley,2.463254442654948,0.4304765615755319,0.03681511957303528,16.5K,"7,516
            ",730
46,3.89,0.569230769,1543,1796380.5,0.88,1431,0.13,50822,0,1,Swarthm,3.000827165281382,0.9227122245152402,0.6602618701119606,"2,880","2,540
            ",435
47,3.8,0.9484361790000001,6673,1724046.0,0.75,1448,0.22,53910,0,1,CMU,2.1991214424233294,-0.3213929420436111,-0.7322497896248864,50.4K,"10.6K
            ",907
48,3.71,0.935986159,5152,1719369.0,0.64,1398,0.35,47500,0,1,Reserve,1.3675020818650188,-0.5741268925008408,-0.25561973804320054,"2,862","2,468
            ",66
